x,y
8.458132445056276705e-01,-7.903316281427972267e-01
9.162979702437823448e-01,-7.881920337880716776e-01
9.867454362046335081e-01,-7.860435066522106773e-01
1.057047632998327824e+00,-7.838929331374948628e-01
1.127092625735911291e+00,-7.817470365674092925e-01
1.196765014157800566e+00,-7.796119983541247578e-01
1.265946415828786087e+00,-7.774929954225617834e-01
1.334515963412396200e+00,-7.753936517172594911e-01
1.402350808122342363e+00,-7.733154041367258369e-01
1.469326623760969008e+00,-7.712567864468127254e-01
1.535318109571850886e+00,-7.692126388605844411e-01
1.600199495743201306e+00,-7.671732563870601318e-01
1.663845063062030061e+00,-7.651234962134692008e-01
1.726129698097622844e+00,-7.630418738607083196e-01
1.786929517309377324e+00,-7.608996902198095214e-01
1.846122607077311795e+00,-7.586602472468595426e-01
1.903589940471050124e+00,-7.562782289588294571e-01
1.959216542957909812e+00,-7.536993452691140849e-01
2.012892983835855354e+00,-7.508603561778446345e-01
2.064517261684018834e+00,-7.476896073827048461e-01
2.113997122909027304e+00,-7.441082070427595951e-01
2.161252795422558659e+00,-7.400319464849645090e-01
2.206220031780767865e+00,-7.353740047709309557e-01
2.248853244394579676e+00,-7.300483735124794205e-01
2.289128400456566403e+00,-7.239738018343429005e-01
2.327045261127882014e+00,-7.170779173057586497e-01
2.362628539349266976e+00,-7.093010685919169944e-01
